Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
Ready to move Office Space,"in Wilson Garden, Bangalore",N/A,₹90000/Month,Commercial,2700,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Wilson%20Garden%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-wilson-garden-bangalore-central-2700-sq-ft-r3-spid-J71969374
Commercial Land/Inst. Land for Lease,"in Devanahalli, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Devanahalli%2C%20Bangalore,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-devanahalli-bangalore-north-8346-sq-yard-spid-F80206579
Ready to move Office Space,"in 9th Block Sir M Vishweshwaraiah Layout,, Mallathahalli, Bangalore",N/A,₹40000/Month,Commercial,1700,Available after login,https://www.google.com/maps/search/?api=1&query=in%209th%20Block%20Sir%20M%20Vishweshwaraiah%20Layout%2C%2C%20Mallathahalli%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-block-9-sir-m-vishweshwaraiah-layout-bangalore-west-1700-sq-ft-spid-P81950708
WareHouse for Lease,"in Kammavari Pete, Hoskote",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kammavari%20Pete%2C%20Hoskote,https://www.99acres.com/warehouse-for-rent-lease-in-kammavari-pete-bangalore-east-4400-sq-ft-spid-A81436559
Ready to move Office Space,"in Subharam Complex, Craig Park Layout, Ashok Nagar",N/A,₹1000000/Month,Commercial,4000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Subharam%20Complex%2C%20Craig%20Park%20Layout%2C%20Ashok%20Nagar,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-craig-park-layout-bangalore-central-4000-sq-ft-spid-K81590845
Commercial Land/Inst. Land for Lease,"in Budigere, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Budigere%2C%20Bangalore,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-budigere-bangalore-north-4840-sq-yard-spid-I83419640
Commercial Showrooms for Lease,"in BTM 4th Stage, BTM Layout",N/A,N/A,N/A,5000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20BTM%204th%20Stage%2C%20BTM%20Layout,https://www.99acres.com/showroom-for-rent-lease-in-btm-stage-4-bangalore-south-5000-sq-ft-spid-L79212845
Commercial Land/Inst. Land for Lease,"in Bettadasanapura, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Bettadasanapura%2C%20Bangalore,https://www.99acres.com/commercial-institutional-land-for-rent-lease-in-bettadasanapura-bangalore-south-3667-sq-yard-spid-T83562056
Commercial Showrooms for Lease,"in Koramangala, Bangalore",N/A,N/A,N/A,5077,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Koramangala%2C%20Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-koramangala-bangalore-south-5500-sq-ft-spid-G83758240
Ready to move Office Space,"in Indira Nagar, Bangalore East",N/A,₹490000/Month,Commercial,4900,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Indira%20Nagar%2C%20Bangalore%20East,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-indira-nagar-bangalore-east-4900-sq-ft-r4-spid-N62067644
Bare Shell Office Space,"in Mahadevapura, Bangalore",24000,₹1680000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Mahadevapura%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-mahadevapura-bangalore-east-24000-sq-ft-r3-spid-P75229407
Bare Shell Office Space,"in Hebbal Kempapura, Near Hebbal, Bangalore",5000,₹350000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Hebbal%20Kempapura%2C%20Near%20Hebbal%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-hebbal-kempapura-bangalore-north-5000-sq-ft-r2-spid-M75184283
Factory for Lease,"in Dobbaspet, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Dobbaspet%2C%20Bangalore,https://www.99acres.com/factory-for-rent-lease-in-dabaspete-bangalore-north-22000-sq-ft-spid-X83878852
